,D1,D2,D3,CPU_times,Model_build_times
0,640,1,20,1266.3146595954895,4.006249666213989
1,64,10,20,497.53904604911804,1.6462535858154297
2,32,20,20,454.1215636730194,1.5343382358551025
3,16,40,20,469.5562584400177,3.6930532455444336
4,8,80,20,537.4185445308685,7.9044716358184814
5,4,160,20,710.4876625537872,15.749305725097656
6,2,320,20,1098.8568120002747,32.17850947380066
7,1,640,20,2049.494686603546,68.50674891471863
